VHCLE_TY_NM,VHCLE_FUEL_NM,VHCLE_NMPR_CO,VHCLE_MAKR_NM,USE_DT,COST_D
고급,휘발유,5,국산,겨울,28600
중형,휘발유,5,국산,겨울,48300
중형,LPG,5,국산,겨울,19000
중형,LPG,5,국산,겨울,15682.75862
SUV/승합,경유,9,국산,겨울,29387.7551
중형,LPG,5,국산,겨울,18347.10744
중형,휘발유,5,국산,겨울,22000
SUV/승합,전기,5,국산,겨울,26713.04348
SUV/승합,경유,5,국산,겨울,44700
소형,휘발유,5,국산,겨울,30294.33962
중형,휘발유,5,국산,겨울,21257.14286
중형,LPG,5,국산,겨울,18000
SUV/승합,휘발유,5,국산,겨울,25043.47826
중형,LPG,5,국산,겨울,23195.12195
중형,휘발유,5,국산,겨울,35200
중형,휘발유,5,국산,겨울,19680
SUV/승합,전기,4,국산,겨울,29688.88889
중형,LPG,5,국산,겨울,14500
SUV/승합,경유,9,국산,겨울,52500
SUV/승합,경유,5,국산,겨울,40320
중형,LPG,5,국산,겨울,17660.37736
중형,휘발유,5,국산,겨울,23563.63636
중형,LPG,5,국산,겨울,21073.17073
고급,LPG,5,국산,겨울,51692.30769
고급,LPG,5,국산,겨울,51784.61538
SUV/승합,휘발유,5,국산,겨울,70000
SUV/승합,경유,5,국산,겨울,69762.71186
중형,LPG,5,국산,겨울,39437.83784
중형,휘발유,5,국산,겨울,14163.93443
SUV/승합,경유,9,국산,겨울,76950
중형,휘발유,5,국산,겨울,38527.15232
중형,LPG,5,국산,겨울,18000
소형,전기,4,수입,겨울,22800
중형,휘발유,5,국산,겨울,30900
중형,LPG,5,국산,겨울,15500
중형,LPG,5,국산,봄,40581.81818
중형,LPG,5,국산,겨울,19090.90909
중형,LPG,5,국산,겨울,21735.84906
소형,휘발유,5,국산,겨울,27000
중형,휘발유,5,국산,겨울,30912
SUV/승합,경유,11,국산,여름,80953.84615
SUV/승합,전기,5,국산,겨울,24560
소형,휘발유,5,국산,겨울,15085.71429
SUV/승합,경유,7,국산,겨울,33061.22449
중형,LPG,5,국산,겨울,19714.28571
중형,LPG,5,국산,겨울,18000
중형,LPG,5,국산,겨울,16000
중형,LPG,5,국산,겨울,18600
SUV/승합,전기,5,국산,겨울,43615.38462
고급,휘발유,5,국산,겨울,43902.43902
SUV/승합,경유,5,국산,겨울,82044.44444
SUV/승합,전기,5,국산,겨울,48492.30769
중형,휘발유,5,국산,겨울,25000
중형,LPG,5,국산,겨울,19537.5
중형,휘발유,5,국산,겨울,27000
중형,LPG,5,국산,겨울,25078.26087
중형,휘발유,5,국산,겨울,36210
SUV/승합,전기,5,국산,겨울,27771.42857
중형,전기,5,국산,겨울,21913.04348
중형,LPG,5,국산,겨울,25500
SUV/승합,경유,9,국산,겨울,54600
중형,LPG,5,국산,겨울,27200
중형,휘발유,5,국산,겨울,15918.36735
중형,휘발유,5,국산,겨울,24930.61224
SUV/승합,전기,4,국산,봄,25683.58209
중형,LPG,5,국산,겨울,22800
소형,휘발유,5,국산,겨울,26037.46224
중형,휘발유,5,국산,겨울,30754.28571
SUV/승합,전기,4,국산,겨울,24384
SUV/승합,전기,5,국산,겨울,48600
중형,휘발유,5,국산,겨울,17136
중형,LPG,5,국산,겨울,32923.07692
중형,휘발유,5,국산,겨울,30117.64706
중형,휘발유,5,국산,겨울,27142.85714
중형,LPG,5,국산,겨울,30063.15789
소형,휘발유,5,국산,겨울,21818.18182
소형,휘발유,5,국산,겨울,27490.90909
SUV/승합,경유,7,국산,겨울,98400
SUV/승합,경유,9,국산,겨울,33600
중형,전기,5,국산,겨울,24700
중형,전기,5,국산,겨울,21000
중형,LPG,5,국산,겨울,14204.08163
중형,휘발유,5,국산,겨울,18700
중형,휘발유,5,국산,겨울,25861.22449
중형,LPG,5,국산,겨울,18000
중형,전기,5,국산,겨울,21000
중형,전기,5,국산,겨울,22500
중형,LPG,5,국산,겨울,26886.07595
중형,휘발유,5,국산,겨울,26057.14286
중형,LPG,5,국산,봄,33333.33333
중형,LPG,5,국산,겨울,28564.70588
고급,휘발유,5,국산,겨울,39600
중형,LPG,5,국산,겨울,21000
중형,휘발유,5,국산,겨울,30117.64706
중형,휘발유,5,국산,겨울,29149.09091
중형,휘발유,5,국산,겨울,26470.58824
SUV/승합,경유,9,국산,겨울,39811.76471
중형,LPG,5,국산,겨울,20000
중형,LPG,5,국산,겨울,36000
중형,휘발유,5,국산,겨울,27392.30769
중형,LPG,5,국산,겨울,22870.58824
SUV/승합,경유,5,국산,겨울,18000
SUV/승합,전기,4,국산,겨울,24363.63636
SUV/승합,전기,4,국산,겨울,27933.33333
SUV/승합,전기,5,국산,겨울,38660.24096
소형,휘발유,5,국산,겨울,26562.71186
중형,LPG,5,국산,겨울,22231.57895
중형,휘발유,5,국산,겨울,29353.84615
중형,휘발유,5,국산,겨울,27000
고급,휘발유,5,국산,겨울,140487.8049
고급,휘발유,5,국산,겨울,101433.9623
중형,LPG,5,국산,겨울,25651.94805
SUV/승합,전기,4,국산,겨울,22147.36842
중형,LPG,5,국산,겨울,32832
SUV/승합,경유,7,국산,겨울,43815.38462
중형,LPG,5,국산,겨울,34500
중형,휘발유,5,국산,겨울,28478.04878
중형,휘발유,5,국산,겨울,26400
SUV/승합,휘발유,5,국산,겨울,34000
중형,휘발유,5,국산,겨울,20347.82609
소형,휘발유,5,국산,겨울,17454.54545
중형,LPG,5,국산,겨울,14500
중형,휘발유,5,국산,겨울,29243.07692
소형,휘발유,5,국산,겨울,13360
